Heart Rate,altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,power,speed,timestamp
111,25,152,152,25,1,111,0,16290,250,1,7/20/2021 21:13
103,26,153,153,26,1,103,0,16397,250,1,7/20/2021 21:13
95,27,154,154,27,1,95,0,16505,250,1,7/20/2021 21:13
87,28,155,155,28,1,87,0,16612,250,1,7/20/2021 21:13
80,29,156,156,29,1,80,0,16719,250,1,7/20/2021 21:13
72,30,157,157,30,1,72,0,16826,250,1,7/20/2021 21:13
65,31,158,158,31,1,65,0,16933,250,1,7/20/2021 21:13
58,32,159,159,32,1,58,0,17041,250,1,7/20/2021 21:13
52,33,160,160,33,1,52,0,17148,250,1,7/20/2021 21:14
46,34,161,161,34,1,46,0,17255,250,1,7/20/2021 21:14
40,35,162,162,35,1,40,0,17362,250,1,7/20/2021 21:14
34,36,163,163,36,1,34,0,17469,250,1,7/20/2021 21:14
29,37,164,164,37,1,29,0,17576,250,1,7/20/2021 21:14
24,38,165,165,38,1,24,0,17684,250,1,7/20/2021 21:14
19,39,166,166,39,1,19,0,17791,250,1,7/20/2021 21:14
15,40,167,167,40,1,15,0,17898,250,1,7/20/2021 21:14
12,41,168,168,41,1,12,0,18005,250,1,7/20/2021 21:14
8,42,169,169,42,1,8,0,18112,250,1,7/20/2021 21:14
6,43,170,170,43,1,6,0,18219,250,1,7/20/2021 21:14
3,44,171,171,44,1,3,0,18327,250,1,7/20/2021 21:14
2,45,172,172,45,1,2,0,18434,250,1,7/20/2021 21:14
1,46,173,173,46,1,1,0,18541,250,1,7/20/2021 21:14
0,47,174,174,47,1,0,0,18648,250,1,7/20/2021 21:14
0,48,175,175,48,1,0,0,18755,250,1,7/20/2021 21:14
0,49,176,176,49,1,0,0,18862,250,1,7/20/2021 21:14
1,50,177,177,50,1,1,0,18970,250,1,7/20/2021 21:14
2,51,178,178,51,1,2,0,19077,250,1,7/20/2021 21:14
3,52,179,179,52,1,3,0,19184,250,1,7/20/2021 21:14
6,53,180,180,53,1,6,0,19291,250,1,7/20/2021 21:14
8,54,181,181,54,1,8,0,19398,250,1,7/20/2021 21:14
12,55,182,182,55,1,12,0,19505,250,1,7/20/2021 21:14
15,56,183,183,56,1,15,0,19613,250,1,7/20/2021 21:14
19,57,184,184,57,1,19,0,19720,250,1,7/20/2021 21:14
24,58,185,185,58,1,24,0,19827,250,1,7/20/2021 21:14
29,59,186,186,59,1,29,0,19934,250,1,7/20/2021 21:14
34,60,187,187,60,1,34,0,20041,250,1,7/20/2021 21:14
40,61,188,188,61,1,40,0,20149,250,1,7/20/2021 21:14
46,62,189,189,62,1,46,0,20256,250,1,7/20/2021 21:14
52,63,190,190,63,1,52,0,20363,250,1,7/20/2021 21:14
58,64,191,191,64,1,58,0,20470,250,1,7/20/2021 21:14
65,65,192,192,65,1,65,0,20577,250,1,7/20/2021 21:14
72,66,193,193,66,1,72,0,20684,250,1,7/20/2021 21:14
80,67,194,194,67,1,80,0,20792,250,1,7/20/2021 21:14
87,68,195,195,68,1,87,0,20899,250,1,7/20/2021 21:14
95,69,196,196,69,1,95,0,21006,250,1,7/20/2021 21:14
103,70,197,197,70,1,103,0,21113,250,1,7/20/2021 21:14
111,71,198,198,71,1,111,0,21220,250,1,7/20/2021 21:14
119,72,199,199,72,1,119,0,21327,250,1,7/20/2021 21:14
126,73,200,200,73,1,126,0,21435,250,1,7/20/2021 21:14
134,74,201,201,74,1,134,0,21542,250,1,7/20/2021 21:14
142,75,202,202,75,1,142,0,21649,250,1,7/20/2021 21:14
150,76,203,203,76,1,150,0,21756,250,1,7/20/2021 21:14
158,77,204,204,77,1,158,0,21863,250,1,7/20/2021 21:14
166,78,205,205,78,1,166,0,21970,250,1,7/20/2021 21:14
173,79,206,206,79,1,173,0,22078,250,1,7/20/2021 21:14
181,80,207,207,80,1,181,0,22185,250,1,7/20/2021 21:14
188,81,208,208,81,1,188,0,22292,250,1,7/20/2021 21:14
195,82,209,209,82,1,195,0,22399,250,1,7/20/2021 21:14
201,83,210,210,83,1,201,0,22506,250,1,7/20/2021 21:14
207,84,211,211,84,1,207,0,22614,250,1,7/20/2021 21:14
213,85,212,212,85,1,213,0,22721,250,1,7/20/2021 21:14
219,86,213,213,86,1,219,0,22828,250,1,7/20/2021 21:14
224,87,214,214,87,1,224,0,22935,250,1,7/20/2021 21:14
229,88,215,215,88,1,229,0,23042,250,1,7/20/2021 21:14
234,89,216,216,89,1,234,0,23149,250,1,7/20/2021 21:14
238,90,217,217,90,1,238,0,23257,250,1,7/20/2021 21:14
241,91,218,218,91,1,241,0,23364,250,1,7/20/2021 21:14
245,92,219,219,92,1,245,0,23471,250,1,7/20/2021 21:14
247,93,220,220,93,1,247,0,23578,250,1,7/20/2021 21:15
250,94,221,221,94,1,250,0,23685,250,1,7/20/2021 21:15
251,95,222,222,95,1,251,0,23792,250,1,7/20/2021 21:15
252,96,223,223,96,1,252,0,23900,250,1,7/20/2021 21:15
253,97,224,224,97,1,253,0,24007,250,1,7/20/2021 21:15
254,98,225,225,98,1,254,0,24114,250,1,7/20/2021 21:15
253,99,226,226,99,1,253,0,24221,250,1,7/20/2021 21:15
252,100,227,227,100,1,252,0,24328,250,1,7/20/2021 21:15
251,101,228,228,101,1,251,0,24435,250,1,7/20/2021 21:15
250,102,229,229,102,1,250,0,24543,250,1,7/20/2021 21:15
247,103,230,230,103,1,247,0,24650,250,1,7/20/2021 21:15
245,104,231,231,104,1,245,0,24757,250,1,7/20/2021 21:15
241,105,232,232,105,1,241,0,24864,250,1,7/20/2021 21:15
238,106,233,233,106,1,238,0,24971,250,1,7/20/2021 21:15
234,107,234,234,107,1,234,0,25078,250,1,7/20/2021 21:15
229,108,235,235,108,1,229,0,25186,250,1,7/20/2021 21:15
224,109,236,236,109,1,224,0,25293,250,1,7/20/2021 21:15
219,110,237,237,110,1,219,0,25400,250,1,7/20/2021 21:15
213,111,238,238,111,1,213,0,25507,250,1,7/20/2021 21:15
207,112,239,239,112,1,207,0,25614,250,1,7/20/2021 21:15
201,113,240,240,113,1,201,0,25722,250,1,7/20/2021 21:15
195,114,241,241,114,1,195,0,25829,250,1,7/20/2021 21:15
188,115,242,242,115,1,188,0,25936,250,1,7/20/2021 21:15
181,116,243,243,116,1,181,0,26043,250,1,7/20/2021 21:15
173,117,244,244,117,1,173,0,26150,250,1,7/20/2021 21:15
166,118,245,245,118,1,166,0,26257,250,1,7/20/2021 21:15
158,119,246,246,119,1,158,0,26365,250,1,7/20/2021 21:15
150,120,247,247,120,1,150,0,26472,250,1,7/20/2021 21:15
142,121,248,248,121,1,142,0,26579,250,1,7/20/2021 21:15
134,122,249,249,122,1,134,0,26686,250,1,7/20/2021 21:15
126,123,250,250,123,1,126,0,26793,250,1,7/20/2021 21:15
119,124,251,251,124,1,119,0,26900,250,1,7/20/2021 21:15
111,125,252,252,125,1,111,0,27008,250,1,7/20/2021 21:15
103,126,253,253,126,1,103,0,27115,250,1,7/20/2021 21:15
95,127,254,254,127,1,95,0,27222,250,1,7/20/2021 21:15
87,127,0,255,127,1,87,0,27329,150,1,7/20/2021 21:15
80,126,1,256,126,1,80,0,27436,150,1,7/20/2021 21:15
72,125,2,257,125,1,72,0,27543,150,1,7/20/2021 21:15
65,124,3,258,124,1,65,0,27651,150,1,7/20/2021 21:15
58,123,4,259,123,1,58,0,27758,150,1,7/20/2021 21:15
52,122,5,260,122,1,52,0,27865,150,1,7/20/2021 21:15
46,121,6,261,121,1,46,0,27972,150,1,7/20/2021 21:15
40,120,7,262,120,1,40,0,28079,150,1,7/20/2021 21:15
34,119,8,263,119,1,34,0,28186,150,1,7/20/2021 21:15
29,118,9,264,118,1,29,0,28294,150,1,7/20/2021 21:15
24,117,10,265,117,1,24,0,28401,150,1,7/20/2021 21:15
19,116,11,266,116,1,19,0,28508,150,1,7/20/2021 21:15
15,115,12,267,115,1,15,0,28615,150,1,7/20/2021 21:15
12,114,13,268,114,1,12,0,28722,150,1,7/20/2021 21:15
8,113,14,269,113,1,8,0,28830,150,1,7/20/2021 21:15
6,112,15,270,112,1,6,0,28937,150,1,7/20/2021 21:15
3,111,16,271,111,1,3,0,29044,150,1,7/20/2021 21:15
2,110,17,272,110,1,2,0,29151,150,1,7/20/2021 21:15
1,109,18,273,109,1,1,0,29258,150,1,7/20/2021 21:15
0,108,19,274,108,1,0,0,29365,150,1,7/20/2021 21:15
0,107,20,275,107,1,0,0,29473,150,1,7/20/2021 21:15
0,106,21,276,106,1,0,0,29580,150,1,7/20/2021 21:15
1,105,22,277,105,1,1,0,29687,150,1,7/20/2021 21:15
2,104,23,278,104,1,2,0,29794,150,1,7/20/2021 21:15
3,103,24,279,103,1,3,0,29901,150,1,7/20/2021 21:15
6,102,25,280,102,1,6,0,30008,150,1,7/20/2021 21:16
8,101,26,281,101,1,8,0,30116,150,1,7/20/2021 21:16
12,100,27,282,100,1,12,0,30223,150,1,7/20/2021 21:16
15,99,28,283,99,1,15,0,30330,150,1,7/20/2021 21:16
19,98,29,284,98,1,19,0,30437,150,1,7/20/2021 21:16
24,97,30,285,97,1,24,0,30544,150,1,7/20/2021 21:16
29,96,31,286,96,1,29,0,30651,150,1,7/20/2021 21:16
34,95,32,287,95,1,34,0,30759,150,1,7/20/2021 21:16
40,94,33,288,94,1,40,0,30866,150,1,7/20/2021 21:16
46,93,34,289,93,1,46,0,30973,150,1,7/20/2021 21:16
52,92,35,290,92,1,52,0,31080,150,1,7/20/2021 21:16
58,91,36,291,91,1,58,0,31187,150,1,7/20/2021 21:16
65,90,37,292,90,1,65,0,31295,150,1,7/20/2021 21:16
72,89,38,293,89,1,72,0,31402,150,1,7/20/2021 21:16
80,88,39,294,88,1,80,0,31509,150,1,7/20/2021 21:16
87,87,40,295,87,1,87,0,31616,150,1,7/20/2021 21:16
95,86,41,296,86,1,95,0,31723,150,1,7/20/2021 21:16
103,85,42,297,85,1,103,0,31830,150,1,7/20/2021 21:16
111,84,43,298,84,1,111,0,31938,150,1,7/20/2021 21:16
119,83,44,299,83,1,119,0,32045,150,1,7/20/2021 21:16
127,82,45,300,82,1,127,0,32152,150,1,7/20/2021 21:16
134,81,46,301,81,1,134,0,32259,150,1,7/20/2021 21:16
142,80,47,302,80,1,142,0,32366,150,1,7/20/2021 21:16
150,79,48,303,79,1,150,0,32473,150,1,7/20/2021 21:16
158,78,49,304,78,1,158,0,32581,150,1,7/20/2021 21:16
166,77,50,305,77,1,166,0,32688,150,1,7/20/2021 21:16
173,76,51,306,76,1,173,0,32795,150,1,7/20/2021 21:16
181,75,52,307,75,1,181,0,32902,150,1,7/20/2021 21:16
188,74,53,308,74,1,188,0,33009,150,1,7/20/2021 21:16
195,73,54,309,73,1,195,0,33116,150,1,7/20/2021 21:16
201,72,55,310,72,1,201,0,33224,150,1,7/20/2021 21:16
207,71,56,311,71,1,207,0,33331,150,1,7/20/2021 21:16
213,70,57,312,70,1,213,0,33438,150,1,7/20/2021 21:16
219,69,58,313,69,1,219,0,33545,150,1,7/20/2021 21:16
224,68,59,314,68,1,224,0,33652,150,1,7/20/2021 21:16
229,67,60,315,67,1,229,0,33759,150,1,7/20/2021 21:16
234,66,61,316,66,1,234,0,33867,150,1,7/20/2021 21:16
238,65,62,317,65,1,238,0,33974,150,1,7/20/2021 21:16
241,64,63,318,64,1,241,0,34081,150,1,7/20/2021 21:16
245,63,64,319,63,1,245,0,34188,150,1,7/20/2021 21:16
247,62,65,320,62,1,247,0,34295,150,1,7/20/2021 21:16
250,61,66,321,61,1,250,0,34403,150,1,7/20/2021 21:16
251,60,67,322,60,1,251,0,34510,150,1,7/20/2021 21:16
252,59,68,323,59,1,252,0,34617,150,1,7/20/2021 21:16
253,58,69,324,58,1,253,0,34724,150,1,7/20/2021 21:16
254,57,70,325,57,1,254,0,34831,150,1,7/20/2021 21:16
253,56,71,326,56,1,253,0,34938,150,1,7/20/2021 21:16
252,55,72,327,55,1,252,0,35046,150,1,7/20/2021 21:16
251,54,73,328,54,1,251,0,35153,150,1,7/20/2021 21:16
250,53,74,329,53,1,250,0,35260,150,1,7/20/2021 21:16
247,52,75,330,52,1,247,0,35367,150,1,7/20/2021 21:16
245,51,76,331,51,1,245,0,35474,150,1,7/20/2021 21:16
241,50,77,332,50,1,241,0,35581,150,1,7/20/2021 21:16
238,49,78,333,49,1,238,0,35689,150,1,7/20/2021 21:16
234,48,79,334,48,1,234,0,35796,150,1,7/20/2021 21:16
229,47,80,335,47,1,229,0,35903,150,1,7/20/2021 21:16
224,46,81,336,46,1,224,0,36010,150,1,7/20/2021 21:16
219,45,82,337,45,1,219,0,36117,150,1,7/20/2021 21:16
213,44,83,338,44,1,213,0,36224,150,1,7/20/2021 21:16
207,43,84,339,43,1,207,0,36332,150,1,7/20/2021 21:16
201,42,85,340,42,1,201,0,36439,150,1,7/20/2021 21:17
195,41,86,341,41,1,195,0,36546,150,1,7/20/2021 21:17
188,40,87,342,40,1,188,0,36653,150,1,7/20/2021 21:17
181,39,88,343,39,1,181,0,36760,150,1,7/20/2021 21:17
173,38,89,344,38,1,173,0,36868,150,1,7/20/2021 21:17
166,37,90,345,37,1,166,0,36975,150,1,7/20/2021 21:17
158,36,91,346,36,1,158,0,37082,150,1,7/20/2021 21:17
150,35,92,347,35,1,150,0,37189,150,1,7/20/2021 21:17
142,34,93,348,34,1,142,0,37296,150,1,7/20/2021 21:17
134,33,94,349,33,1,134,0,37403,150,1,7/20/2021 21:17
127,32,95,350,32,1,127,0,37511,150,1,7/20/2021 21:17
119,31,96,351,31,1,119,0,37618,150,1,7/20/2021 21:17
111,30,97,352,30,1,111,0,37725,150,1,7/20/2021 21:17
103,29,98,353,29,1,103,0,37832,150,1,7/20/2021 21:17
95,28,99,354,28,1,95,0,37939,150,1,7/20/2021 21:17
87,27,100,355,27,1,87,0,38046,150,1,7/20/2021 21:17
80,26,101,356,26,1,80,0,38154,150,1,7/20/2021 21:17
72,25,102,357,25,1,72,0,38261,150,1,7/20/2021 21:17
65,24,103,358,24,1,65,0,38368,150,1,7/20/2021 21:17
58,23,104,359,23,1,58,0,38475,150,1,7/20/2021 21:17
52,22,105,360,22,1,52,0,38582,150,1,7/20/2021 21:17
46,21,106,361,21,1,46,0,38689,150,1,7/20/2021 21:17
40,20,107,362,20,1,40,0,38797,150,1,7/20/2021 21:17
34,19,108,363,19,1,34,0,38904,150,1,7/20/2021 21:17
29,18,109,364,18,1,29,0,39011,150,1,7/20/2021 21:17
24,17,110,365,17,1,24,0,39118,150,1,7/20/2021 21:17
19,16,111,366,16,1,19,0,39225,150,1,7/20/2021 21:17
15,15,112,367,15,1,15,0,39332,150,1,7/20/2021 21:17
12,14,113,368,14,1,12,0,39440,150,1,7/20/2021 21:17
8,13,114,369,13,1,8,0,39547,150,1,7/20/2021 21:17
6,12,115,370,12,1,6,0,39654,150,1,7/20/2021 21:17
3,11,116,371,11,1,3,0,39761,150,1,7/20/2021 21:17
2,10,117,372,10,1,2,0,39868,150,1,7/20/2021 21:17
1,9,118,373,9,1,1,0,39976,150,1,7/20/2021 21:17
0,8,119,374,8,1,0,0,40083,150,1,7/20/2021 21:17
0,7,120,375,7,1,0,0,40190,150,1,7/20/2021 21:17
0,6,121,376,6,1,0,0,40297,150,1,7/20/2021 21:17
1,5,122,377,5,1,1,0,40404,150,1,7/20/2021 21:17
2,4,123,378,4,1,2,0,40511,150,1,7/20/2021 21:17
3,3,124,379,3,1,3,0,40619,150,1,7/20/2021 21:17
6,2,125,380,2,1,6,0,40726,150,1,7/20/2021 21:17
8,1,126,381,1,1,8,0,40833,150,1,7/20/2021 21:17
12,0,127,382,0,1,12,0,40940,250,1,7/20/2021 21:17
15,1,128,383,1,1,15,0,41047,250,1,7/20/2021 21:17
19,2,129,384,2,1,19,0,41154,250,1,7/20/2021 21:17
24,3,130,385,3,1,24,0,41262,250,1,7/20/2021 21:17
29,4,131,386,4,1,29,0,41369,250,1,7/20/2021 21:17
34,5,132,387,5,1,34,0,41476,250,1,7/20/2021 21:17
40,6,133,388,6,1,40,0,41583,250,1,7/20/2021 21:17
46,7,134,389,7,1,46,0,41690,250,1,7/20/2021 21:17
52,8,135,390,8,1,52,0,41797,250,1,7/20/2021 21:17
58,9,136,391,9,1,58,0,41905,250,1,7/20/2021 21:17
65,10,137,392,10,1,65,0,42012,250,1,7/20/2021 21:17
72,11,138,393,11,1,72,0,42119,250,1,7/20/2021 21:17
80,12,139,394,12,1,80,0,42226,250,1,7/20/2021 21:17
87,13,140,395,13,1,87,0,42333,250,1,7/20/2021 21:17
95,14,141,396,14,1,95,0,42441,250,1,7/20/2021 21:17
103,15,142,397,15,1,103,0,42548,250,1,7/20/2021 21:17
111,16,143,398,16,1,111,0,42655,250,1,7/20/2021 21:17
119,17,144,399,17,1,119,0,42762,250,1,7/20/2021 21:17
126,18,145,400,18,1,126,0,42869,250,1,7/20/2021 21:18
134,19,146,401,19,1,134,0,42976,250,1,7/20/2021 21:18
142,20,147,402,20,1,142,0,43084,250,1,7/20/2021 21:18
150,21,148,403,21,1,150,0,43191,250,1,7/20/2021 21:18
158,22,149,404,22,1,158,0,43298,250,1,7/20/2021 21:18
166,23,150,405,23,1,166,0,43405,250,1,7/20/2021 21:18
173,24,151,406,24,1,173,0,43512,250,1,7/20/2021 21:18
181,25,152,407,25,1,181,0,43619,250,1,7/20/2021 21:18
